Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Study on Personalized Location Privacy Preservation Algorithms Based on Road Networks","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-319-27161-3_4","Hongyun XuJun YangYong ZhangMengzhen XuJiayi Gan","2015","http://link.springer.com/chapter/10.1007/978-3-319-27161-3_4","Chapter"
"Security and Privacy","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-33-6781-4","Prof. Dr. Pantelimon StănicăProf. Sugata GangopadhyayDr. Sumit Kumar Debnath","2021","http://link.springer.com/book/10.1007/978-981-33-6781-4","Book"
"New Research and Future Directions","Introduction to Deep Learning Business Applications for Developers","","","","10.1007/978-1-4842-3453-2_11","Armando VieiraBernardete Ribeiro","2018","http://link.springer.com/chapter/10.1007/978-1-4842-3453-2_11","Chapter"
"Privacy-Preserving SVM Classification on Vertically Partitioned Data","Advances in Knowledge Discovery and Data Mining","","","","10.1007/11731139_74","Hwanjo YuJaideep VaidyaXiaoqian Jiang","2006","http://link.springer.com/chapter/10.1007/11731139_74","Chapter"
"Information Sharing System Based on Location in Consideration of Privacy for Knowledge Creation","Knowledge-Based Intelligent Information and Engineering Systems","","","","10.1007/978-3-540-30132-5_47","Toshiyuki HirataSusumu Kunifuji","2004","http://link.springer.com/chapter/10.1007/978-3-540-30132-5_47","Chapter"
"Quadratic Error Minimization in a Distributed Environment with Privacy Preserving","Privacy and Security Issues in Data Mining and Machine Learning","","","","10.1007/978-3-642-19896-0_3","Gérald GavinJulien Velcin","2011","http://link.springer.com/chapter/10.1007/978-3-642-19896-0_3","Chapter"
"A Neural-Network Clustering-Based Algorithm for Privacy Preserving Data Mining","Grid and Distributed Computing, Control and Automation","","","","10.1007/978-3-642-17625-8_27","S. TsiafoulisV. C. ZorkadisD. A. Karras","2010","http://link.springer.com/chapter/10.1007/978-3-642-17625-8_27","Chapter"
"Usability Challenges in Security and Privacy Policy-Authoring Interfaces","Human-Computer Interaction – INTERACT 2007","","","","10.1007/978-3-540-74800-7_11","Robert W. ReederClare-Marie KaratJohn KaratCarolyn Brodie","2007","http://link.springer.com/chapter/10.1007/978-3-540-74800-7_11","Chapter"
"Face Swapping for Solving Collateral Privacy Issues in Multimedia Analytics","MultiMedia Modeling","","","","10.1007/978-3-030-05710-7_14","Werner Bailer","2019","http://link.springer.com/chapter/10.1007/978-3-030-05710-7_14","Chapter"
"A Survey on Deep Learning Techniques for Privacy-Preserving","Machine Learning for Cyber Security","","","","10.1007/978-3-030-30619-9_4","Harry Chandra TanuwidjajaRakyong ChoiKwangjo Kim","2019","http://link.springer.com/chapter/10.1007/978-3-030-30619-9_4","Chapter"
"Privacy Prediction of Lightweight Convolutional Neural Network","Frontiers in Cyber Security","","","","10.1007/978-981-15-9739-8_39","Shiyin YangYongbiao LiDehua ZhouLinfeng WeiQingqing Gan","2020","http://link.springer.com/chapter/10.1007/978-981-15-9739-8_39","Chapter"
"Federated Simulation for Medical Imaging","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59710-8_16","Daiqing LiAmlan KarNishant RavikumarAlejandro F. FrangiSanja Fidler","2020","http://link.springer.com/chapter/10.1007/978-3-030-59710-8_16","Chapter"
"Automatic Attendance Taking: A Proof of Concept on Privacy Concerns in 802.11 MAC Address Probing","Advances in Cyber Security","","","","10.1007/978-981-15-2693-0_20","Yichiet AunMing-Lee GanYen-Min Jasmina Khaw","2020","http://link.springer.com/chapter/10.1007/978-981-15-2693-0_20","Chapter"
"A More Secure Spatial Decompositions Algorithm via Indefeasible Laplace Noise in Differential Privacy","Advanced Data Mining and Applications","","","","10.1007/978-3-030-05090-0_19","Xiaocui LiYangtao WangXinyu ZhangKe ZhouChunhua Li","2018","http://link.springer.com/chapter/10.1007/978-3-030-05090-0_19","Chapter"
"Data Generation Using Gene Expression Generator","Intelligent Data Engineering and Automated Learning – IDEAL 2020","","","","10.1007/978-3-030-62365-4_6","Zakarya FarouNoureddine MouhoubTomáš Horváth","2020","http://link.springer.com/chapter/10.1007/978-3-030-62365-4_6","Chapter"
"Towards Automated Customer Support","Artificial Intelligence: Methodology, Systems, and Applications","","","","10.1007/978-3-319-99344-7_5","Momchil HardalovIvan KoychevPreslav Nakov","2018","http://link.springer.com/chapter/10.1007/978-3-319-99344-7_5","Chapter"
"Explanation Methods in Deep Learning: Users, Values, Concerns and Challenges","Explainable and Interpretable Models in Computer Vision and Machine Learning","","","","10.1007/978-3-319-98131-4_2","Gabriëlle RasMarcel van GervenPim Haselager","2018","http://link.springer.com/chapter/10.1007/978-3-319-98131-4_2","Chapter"
"Social Trust of Virtual Identities","Computing with Social Trust","","","","10.1007/978-1-84800-356-9_4","Jean-Marc Seigneur","2009","http://link.springer.com/chapter/10.1007/978-1-84800-356-9_4","Chapter"
"Using deep learning to preserve data confidentiality","Applied Intelligence","","50","2","10.1007/s10489-019-01515-3","Wei LiPengqiu MengYi HongXiaohui Cui","2020","http://link.springer.com/article/10.1007/s10489-019-01515-3","Article"
"Siamese Generative Adversarial Privatizer for Biometric Data","Computer Vision – ACCV 2018","","","","10.1007/978-3-030-20873-8_31","Witold OleszkiewiczPeter KairouzKarol PiczakRam RajagopalTomasz Trzciński","2019","http://link.springer.com/chapter/10.1007/978-3-030-20873-8_31","Chapter"
"Deep learning for face image synthesis and semantic manipulations: a review and future perspectives","Artificial Intelligence Review","","53","8","10.1007/s10462-020-09835-4","Mahla AbdolahnejadPeter Xiaoping Liu","2020","http://link.springer.com/article/10.1007/s10462-020-09835-4","Article"
"A Feature Filter for EEG Using Cycle-GAN Structure","Neural Information Processing","","","","10.1007/978-3-030-04239-4_51","Yue YaoJo PlestedTom Gedeon","2018","http://link.springer.com/chapter/10.1007/978-3-030-04239-4_51","Chapter"
"Synthesizing Quality Open Data Assets from Private Health Research Studies","Business Information Systems Workshops","","","","10.1007/978-3-030-61146-0_26","Andrew YaleSaloni DashKaran BhanotIsabelle GuyonJohn S. EricksonKristin P. Bennett","2020","http://link.springer.com/chapter/10.1007/978-3-030-61146-0_26","Chapter"
"SPEED: secure, PrivatE, and efficient deep learning","Machine Learning","","","","10.1007/s10994-021-05970-3","Arnaud Grivet SébertRafaël PinotMartin ZuberCédric Gouy-PaillerRenaud Sirdey","2021","http://link.springer.com/article/10.1007/s10994-021-05970-3","Article"
"SMOOTH-GAN: Towards Sharp and Smooth Synthetic EHR Data Generation","Artificial Intelligence in Medicine","","","","10.1007/978-3-030-59137-3_4","Sina RashidianFusheng WangRichard MoffittVictor GarciaAnurag DuttWei ChangVishwam PandyaJanos HajagosMary SaltzJoel Saltz","2020","http://link.springer.com/chapter/10.1007/978-3-030-59137-3_4","Chapter"
"Threats to Federated Learning","Federated Learning","","","","10.1007/978-3-030-63076-8_1","Lingjuan LyuHan YuJun ZhaoQiang Yang","2020","http://link.springer.com/chapter/10.1007/978-3-030-63076-8_1","Chapter"
"Deep Leakage from Gradients","Federated Learning","","","","10.1007/978-3-030-63076-8_2","Ligeng ZhuSong Han","2020","http://link.springer.com/chapter/10.1007/978-3-030-63076-8_2","Chapter"
"Using argument schemes for hypothetical reasoning in law","Artificial Intelligence and Law","","18","2","10.1007/s10506-010-9094-8","Trevor Bench-CaponHenry Prakken","2010","http://link.springer.com/article/10.1007/s10506-010-9094-8","Article"
"Collaborative Learning Based Effective Malware Detection System","ECML PKDD 2020 Workshops","","","","10.1007/978-3-030-65965-3_13","Narendra SinghHarsh KasyapSomanath Tripathy","2020","http://link.springer.com/chapter/10.1007/978-3-030-65965-3_13","Chapter"
"CVNNs-IDS: Complex-Valued Neural Network Based In-Vehicle Intrusion Detection System","Security and Privacy in Digital Economy","","","","10.1007/978-981-15-9129-7_19","Mu HanPengzhou ChengShidian Ma","2020","http://link.springer.com/chapter/10.1007/978-981-15-9129-7_19","Chapter"
"IL4IoT: Incremental Learning for Internet-of-Things Devices","Ambient Intelligence","","","","10.1007/978-3-030-34255-5_7","Yuanyuan BaoWai Chen","2019","http://link.springer.com/chapter/10.1007/978-3-030-34255-5_7","Chapter"
"GAN-based synthetic brain PET image generation","Brain Informatics","","7","1","10.1186/s40708-020-00104-2","Jyoti IslamYanqing Zhang","2020","http://link.springer.com/article/10.1186/s40708-020-00104-2","Article"
"GAN-TStega: Text Steganography Based on Generative Adversarial Networks","Digital Forensics and Watermarking","","","","10.1007/978-3-030-43575-2_2","Zhongliang YangNan WeiQinghe LiuYongfeng HuangYujin Zhang","2020","http://link.springer.com/chapter/10.1007/978-3-030-43575-2_2","Chapter"
"Continuous Patient-Centric Sequence Generation via Sequentially Coupled Adversarial Learning","Database Systems for Advanced Applications","","","","10.1007/978-3-030-18579-4_3","Lu WangWei ZhangXiaofeng He","2019","http://link.springer.com/chapter/10.1007/978-3-030-18579-4_3","Chapter"
"Knowledge Distillation: A Survey","International Journal of Computer Vision","","","","10.1007/s11263-021-01453-z","Jianping GouBaosheng YuStephen J. MaybankDacheng Tao","2021","http://link.springer.com/article/10.1007/s11263-021-01453-z","Article"
"DeepPrivacy: A Generative Adversarial Network for Face Anonymization","Advances in Visual Computing","","","","10.1007/978-3-030-33720-9_44","Håkon HukkelåsRudolf MesterFrank Lindseth","2019","http://link.springer.com/chapter/10.1007/978-3-030-33720-9_44","Chapter"
"Using Generative Adversarial Networks to Develop a Realistic Human Behavior Simulator","PRIMA 2018: Principles and Practice of Multi-Agent Systems","","","","10.1007/978-3-030-03098-8_32","Ali el HassouniMark HoogendoornVesa Muhonen","2018","http://link.springer.com/chapter/10.1007/978-3-030-03098-8_32","Chapter"
"Multi-owner Secure Encrypted Search Using Searching Adversarial Networks","Cryptology and Network Security","","","","10.1007/978-3-030-31578-8_10","Kai ChenZhongrui LinJian WanLei XuChungen Xu","2019","http://link.springer.com/chapter/10.1007/978-3-030-31578-8_10","Chapter"
"The Chinese approach to artificial intelligence: an analysis of policy, ethics, and regulation","AI & SOCIETY","","36","1","10.1007/s00146-020-00992-2","Huw RobertsJosh CowlsJessica MorleyMariarosaria TaddeoVincent WangLuciano Floridi","2021","http://link.springer.com/article/10.1007/s00146-020-00992-2","Article"
"A review of generative adversarial networks and its application in cybersecurity","Artificial Intelligence Review","","53","3","10.1007/s10462-019-09717-4","Chika Yinka-BanjoOgban-Asuquo Ugot","2020","http://link.springer.com/article/10.1007/s10462-019-09717-4","Article"
"Robust, Imperceptible and End-to-End Audio Steganography Based on CNN","Security and Privacy in Digital Economy","","","","10.1007/978-981-15-9129-7_30","Jie WangRangding WangLi DongDiqun Yan","2020","http://link.springer.com/chapter/10.1007/978-981-15-9129-7_30","Chapter"
"GAN-Based Realistic Bone Ultrasound Image and Label Synthesis for Improved Segmentation","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59725-2_77","Ahmed Z. AlsinanCharles RuleMichael VivesVishal M. PatelIlker Hacihaliloglu","2020","http://link.springer.com/chapter/10.1007/978-3-030-59725-2_77","Chapter"
"Augmenting Physiological Time Series Data: A Case Study for Sleep Apnea Detection","Machine Learning and Knowledge Discovery in Databases","","","","10.1007/978-3-030-46133-1_23","Konstantinos NikolaidisStein KristiansenVera GoebelThomas PlagemannKnut LiestølMohan Kankanhalli","2020","http://link.springer.com/chapter/10.1007/978-3-030-46133-1_23","Chapter"
"Generative Adversarial Networks (GANs) for Retinal Fundus Image Synthesis","Computer Vision – ACCV 2018 Workshops","","","","10.1007/978-3-030-21074-8_24","Valentina BellemoPhilippe BurlinaLiu YongTien Yin WongDaniel Shu Wei Ting","2019","http://link.springer.com/chapter/10.1007/978-3-030-21074-8_24","Chapter"
"Mobile Health ID Card","Software Technologies: Applications and Foundations","","","","10.1007/978-3-319-74730-9_35","Malgorzata Zofia GoraczekMichael SachsOliver TerbuLei ZhuBirgit ScholzGeorg Egger-SidloSebastian ZehetbauerStefan Vogl","2018","http://link.springer.com/chapter/10.1007/978-3-319-74730-9_35","Chapter"
"Deep learning for biomedical image reconstruction: a survey","Artificial Intelligence Review","","54","1","10.1007/s10462-020-09861-2","Hanene Ben YedderBen CardoenGhassan Hamarneh","2021","http://link.springer.com/article/10.1007/s10462-020-09861-2","Article"
"A Novel Intermediary Framework for Dynamic Edge Service Composition","Journal of Computer Science and Technology","","27","2","10.1007/s11390-012-1223-2","Claudia CanaliMichele ColajanniDelfina MalandrinoVittorio ScaranoRaffaele Spinelli","2012","http://link.springer.com/article/10.1007/s11390-012-1223-2","Article"
"Ambient Intelligence in the City Overview and New Perspectives","Handbook of Ambient Intelligence and Smart Environments","","","","10.1007/978-0-387-93808-0_34","Marc BöhlenHans Frei","2010","http://link.springer.com/chapter/10.1007/978-0-387-93808-0_34","Chapter"
"Improving Communication Efficiency for Encrypted Distributed Training","Security and Privacy in Digital Economy","","","","10.1007/978-981-15-9129-7_40","Minglu ZhangQixian ZhouShaopeng LiangHaomiao Yang","2020","http://link.springer.com/chapter/10.1007/978-981-15-9129-7_40","Chapter"
"On Identifying and Explaining Similarities in Android Apps","Journal of Computer Science and Technology","","34","2","10.1007/s11390-019-1918-8","Li LiTegawendé F. BissyandéHao-Yu WangJacques Klein","2019","http://link.springer.com/article/10.1007/s11390-019-1918-8","Article"
"Synthesis of Medical Images Using GANs","Uncertainty for Safe Utilization of Machine Learning in Medical Imaging and Clinical Image-Based Procedures","","","","10.1007/978-3-030-32689-0_13","Luise MiddelChristoph PalmMarius Erdt","2019","http://link.springer.com/chapter/10.1007/978-3-030-32689-0_13","Chapter"
"A Hybrid Model for Identity Obfuscation by Face Replacement","Computer Vision – ECCV 2018","","","","10.1007/978-3-030-01246-5_34","Qianru SunAyush TewariWeipeng XuMario FritzChristian TheobaltBernt Schiele","2018","http://link.springer.com/chapter/10.1007/978-3-030-01246-5_34","Chapter"
"On Secure e-Health Systems","Privacy in Statistical Databases","","","","10.1007/11930242_30","Milan Marković","2006","http://link.springer.com/chapter/10.1007/11930242_30","Chapter"
"Interpretable Encrypted Searchable Neural Networks","Machine Learning for Cyber Security","","","","10.1007/978-3-030-30619-9_20","Kai ChenZhongrui LinJian WanChungen Xu","2019","http://link.springer.com/chapter/10.1007/978-3-030-30619-9_20","Chapter"
"A Survey of Deep Facial Attribute Analysis","International Journal of Computer Vision","","128","8 - 9","10.1007/s11263-020-01308-z","Xin ZhengYanqing GuoHuaibo HuangYi LiRan He","2020","http://link.springer.com/article/10.1007/s11263-020-01308-z","Article"
"Generative Adversarial Network-Based Semi-supervised Learning for Pathological Speech Classification","Statistical Language and Speech Processing","","","","10.1007/978-3-030-59430-5_14","Nam H. TrinhDarragh O’Brien","2020","http://link.springer.com/chapter/10.1007/978-3-030-59430-5_14","Chapter"
"Unsupervised Human Pose Estimation on Depth Images","Machine Learning and Knowledge Discovery in Databases: Applied Data Science Track","","","","10.1007/978-3-030-67667-4_22","Thibault Blanc-BeyneAxel CarlierSandrine MouyssetVincent Charvillat","2021","http://link.springer.com/chapter/10.1007/978-3-030-67667-4_22","Chapter"
"A novel super-resolution CT image reconstruction via semi-supervised generative adversarial network","Neural Computing and Applications","","32","18","10.1007/s00521-020-04905-8","Xin JiangMingzhe LiuFeixiang ZhaoXianghe LiuHelen Zhou","2020","http://link.springer.com/article/10.1007/s00521-020-04905-8","Article"
"Twitter alloy steel disambiguation and user relevance via one-class and two-class news titles classifiers","Neural Computing and Applications","","33","4","10.1007/s00521-020-04991-8","Paola ZolaPaulo CortezEugenio Brentari","2021","http://link.springer.com/article/10.1007/s00521-020-04991-8","Article"
"SplitPass: A Mutually Distrusting Two-Party Password Manager","Journal of Computer Science and Technology","","33","1","10.1007/s11390-018-1810-y","Yu-Tao LiuDong DuYu-Bin XiaHai-Bo ChenBin-Yu ZangZhenkai Liang","2018","http://link.springer.com/article/10.1007/s11390-018-1810-y","Article"
"Comparative Feedback in the Street: Exposing Residential Energy Consumption on House Façades","Human-Computer Interaction – INTERACT 2011","","","","10.1007/978-3-642-23774-4_39","Andrew Vande MoereMartin TomitschMonika HoinkisElmar TrefzSilje JohansenAllison Jones","2011","http://link.springer.com/chapter/10.1007/978-3-642-23774-4_39","Chapter"
"Classifying Security Attacks in IoT Using CTM Method","Emerging Trends in ICT for Sustainable Development","","","","10.1007/978-3-030-53440-0_32","Hind MezianeNoura OuerdiMohammed Amine KasmiSanae Mazouz","2021","http://link.springer.com/chapter/10.1007/978-3-030-53440-0_32","Chapter"
"A Novel Security Architecture for Biometric Templates Using Visual Cryptography and Chaotic Image Encryption","Eco-friendly Computing and Communication Systems","","","","10.1007/978-3-642-32112-2_29","Divya JamesMintu Philip","2012","http://link.springer.com/chapter/10.1007/978-3-642-32112-2_29","Chapter"
"Spatiotemporal data mining: a survey on challenges and open problems","Artificial Intelligence Review","","","","10.1007/s10462-021-09994-y","Ali HamdiKhaled ShabanAbdelkarim ErradiAmr MohamedShakila Khan RumiFlora D. Salim","2021","http://link.springer.com/article/10.1007/s10462-021-09994-y","Article"
"Data mining and knowledge discovery in business databases","Foundations of Intelligent Systems","","","","10.1007/3-540-61286-6_131","Gregory Piatetsky-Shapiro","1996","http://link.springer.com/chapter/10.1007/3-540-61286-6_131","Chapter"
"TICS: text–image-based semantic CAPTCHA synthesis via multi-condition adversarial learning","The Visual Computer","","","","10.1007/s00371-021-02061-1","Xinkang JiaJun XiaoChao Wu","2021","http://link.springer.com/article/10.1007/s00371-021-02061-1","Article"
"Conditional Infilling GANs for Data Augmentation in Mammogram Classification","Image Analysis for Moving Organ, Breast, and Thoracic Images","","","","10.1007/978-3-030-00946-5_11","Eric WuKevin WuDavid CoxWilliam Lotter","2018","http://link.springer.com/chapter/10.1007/978-3-030-00946-5_11","Chapter"
"JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY","Journal of Computer Science and Technology","","34","6","10.1007/s11390-019-1981-5","","2019","http://link.springer.com/article/10.1007/s11390-019-1981-5","Article"
"Frame Rate Up-Conversion in Echocardiography Using a Conditioned Variational Autoencoder and Generative Adversarial Model","Medical Image Computing and Computer Assisted Intervention – MICCAI 2019","","","","10.1007/978-3-030-32245-8_78","Fatemeh Taheri DezakiHany GirgisRobert RohlingKen GinPurang AbolmaesumiTeresa Tsang","2019","http://link.springer.com/chapter/10.1007/978-3-030-32245-8_78","Chapter"
"The Nooscope manifested: AI as instrument of knowledge extractivism","AI & SOCIETY","","","","10.1007/s00146-020-01097-6","Matteo PasquinelliVladan Joler","2020","http://link.springer.com/article/10.1007/s00146-020-01097-6","Article"
"A Generic Proxy for Secure Smart Card-Enabled Web Applications","Web Engineering","","","","10.1007/978-3-642-13911-6_25","Guenther StarnbergerLorenz FroihoferKarl M. Goeschka","2010","http://link.springer.com/chapter/10.1007/978-3-642-13911-6_25","Chapter"
"A Generic Framework for Anonymous Authentication in Mobile Networks","Journal of Computer Science and Technology","","28","4","10.1007/s11390-013-1371-z","Jing XuWen-Tao Zhu","2013","http://link.springer.com/article/10.1007/s11390-013-1371-z","Article"
"Probabilistic Blocking and Distributed Bayesian Entity Resolution","Privacy in Statistical Databases","","","","10.1007/978-3-030-57521-2_16","Ted EnamoradoRebecca C. Steorts","2020","http://link.springer.com/chapter/10.1007/978-3-030-57521-2_16","Chapter"
"Next Big Challenges in Core AI Technology","Reflections on Artificial Intelligence for Humanity","","","","10.1007/978-3-030-69128-8_7","Andreas DengelOren EtzioniNicole DeCarioHolger HoosFei-Fei LiJunichi TsujiiPaolo Traverso","2021","http://link.springer.com/chapter/10.1007/978-3-030-69128-8_7","Chapter"
"Internet of Assistants: Humans Can Get Assistance Anywhere, Anytime and Any Areas","Advances in Signal Processing and Intelligent Recognition Systems","","","","10.1007/978-981-15-4828-4_2","Minh-Son DaoMohamed Saleem Haja Nazmudeen","2020","http://link.springer.com/chapter/10.1007/978-981-15-4828-4_2","Chapter"
"Generate Images with Obfuscated Attributes for Private Image Classification","MultiMedia Modeling","","","","10.1007/978-3-030-37734-2_11","Wei HouDakui WangXiaojun Chen","2020","http://link.springer.com/chapter/10.1007/978-3-030-37734-2_11","Chapter"
"Detecting Intrusive Malware with a Hybrid Generative Deep Learning Model","Intelligent Data Engineering and Automated Learning – IDEAL 2018","","","","10.1007/978-3-030-03493-1_52","Jin-Young KimSung-Bae Cho","2018","http://link.springer.com/chapter/10.1007/978-3-030-03493-1_52","Chapter"
"Deep Learning in Mining Biological Data","Cognitive Computation","","13","1","10.1007/s12559-020-09773-x","Mufti MahmudM. Shamim KaiserT. Martin McGinnityAmir Hussain","2021","http://link.springer.com/article/10.1007/s12559-020-09773-x","Article"
"Missing POI Check-in Identification Using Generative Adversarial Networks","Database Systems for Advanced Applications","","","","10.1007/978-3-030-73194-6_38","Meihui ShiDerong ShenYue KouTiezheng NieGe Yu","2021","http://link.springer.com/chapter/10.1007/978-3-030-73194-6_38","Chapter"
"Medical Time-Series Data Generation Using Generative Adversarial Networks","Artificial Intelligence in Medicine","","","","10.1007/978-3-030-59137-3_34","Saloni DashAndrew YaleIsabelle GuyonKristin P. Bennett","2020","http://link.springer.com/chapter/10.1007/978-3-030-59137-3_34","Chapter"
"3-Party Adversarial Steganography","Information Security Applications","","","","10.1007/978-3-030-65299-9_7","Ishak MeraoucheSabyasachi DuttaKouichi Sakurai","2020","http://link.springer.com/chapter/10.1007/978-3-030-65299-9_7","Chapter"
